Summary,Description
Change  MasterSolutionRepositoryBuilder to MasterSolutionsRepositoryBuilder and CustomSolutionRepositoryBuilder to CustomSolutionsRepositoryBuilder,the current change in the PR to be avoided [https://bitbucket.org/deliverysolutions/nr-executor/pull-requests/179/diff|https://bitbucket.org/deliverysolutions/nr-executor/pull-requests/179/diff|smart-link] 
Update Onboarding Scrpt with the new configuration URL,
Updating existing Lynks schema,"As per support given to display Lynks schema in node-red canvas (DL-60070)

Need to update all existing data for the same.

Refer Card solution for detail or reach out to [~accountid:5f589d0840e048006e0cc94a]/[~accountid:5f4ddee0333edb00432ffff9]"
Cross track task for PR review of lynks-service,As a part of [https://delivery-solutions.atlassian.net/browse/DL-60817|https://delivery-solutions.atlassian.net/browse/DL-60817|smart-link]  we are doing changes in lynks-service. This is cross track task for review.
Script for deleting OrderTenantMapping linked with the Invasix Tenant,"For the Production Invasix Go on Prod the linking with the order tenant mapping needs to be removed with the already created trackers 

3 migration scripts need to be created:

# find count for deletion
# deleltion script
# verification script

the structure of the orderTenantMapping is as follows:

{noformat}{
  ""_id"": {
    ""$oid"": ""6684ba842186ddeb67b17abb""
  },
  ""orderId"": {
    ""$oid"": ""6684ba84823048ee3fef734d""
  },
  ""workflow"": ""carrier"",
  ""businessExternalId"": null,
  ""provider"": ""FedEx"",
  ""storeExternalId"": ""BHARGAV_ROADIE_INSURANCE_007"",
  ""tenantId"": ""bhargav_mantha"",
  ""trackingNumber"": ""794644835174""
}{noformat}

take a backup of the data that is being deleted

Psuedocode:

# findAll and count the number of documents with tenantId: {{invasic}}
#  since the document size can be really huge use the right  approach and write  the files to a <tenant>.json file
# delete the documents with tenantId: “<tenant name>“
# compare the count in 1 and deleted count"
Code review for DL-59040 from DM,"Dev: [https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/308/overview|https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/308/overview|smart-link] 
QA: [https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/316/diff|https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/316/diff|smart-link] "
Cross track PR review for lynks-service,"As part of this card [https://delivery-solutions.atlassian.net/browse/DL-59679|https://delivery-solutions.atlassian.net/browse/DL-59679|smart-link]  we have removed tenantId, username and permissions from request body."
Code review for DL-16333,"[~accountid:62b18dcddcafd965c5ddbeb6] to attach the PR
[https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/194/diff|https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/194/diff]"
PR Review for Migration (DL-57409),
PR Review for lynks-service,Lynks Service: [https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/141/diff#chg-src/workflows-builder/workflows-builder.controller.ts|https://bitbucket.org/deliverysolutions/lynks-service/pull-requests/141/diff#chg-src/workflows-builder/workflows-builder.controller.ts|smart-link] 
