Summary,Description
Align Business Display Names Across Tools for Consistency,"There’s a UX inconsistency between tools when displaying businesses:

* The *Dev Portal* shows businesses by *Business ID*
* *Hub* and *StoreOps* show businesses by *Business Name*

This makes it harder to track or confirm which business you're working in across tools—especially when IDs and names don’t clearly align. I recommend updating the Dev Portal to match the Business Name format used elsewhere in the platform, or at minimum showing both Business Name and Business ID to reduce confusion

!Screenshot 2025-07-24 093500.png|width=570,height=500,alt=""Screenshot 2025-07-24 093500.png""!"
List Deliveries API Doesn't Show Orders Created in Portal,"Business: Nick Demo Account

I created 3 orders in the portal and 1 via API. All 4 show up in the portal. When I use the List Deliveries API, it only pulls the 1 order that was created by API and not the 3 manually created in the portal"
Undocumented 422 Error and Inconsistent Field Validation for Check Coverage Eligibility,"When simulating errors for the [*Check Coverage Eligibility*|https://developer.lynkup.com/tag/Delivery-Coverage?tag=Shipping-Management#operation/checkCoverage] API using the {{provider-coverage}} service, I intentionally omitted the required field {{locationExternalId}} to test error handling.

Instead of receiving a standard {{400 Bad Request}}, I received a *422 Unprocessable Entity* with the following payload:

{noformat}{
  ""type"": ""VALIDATION_ERROR"",
  ""errors"": [
    {
      ""type"": ""INVALID_DATA"",
      ""message"": ""locationExternalId or pickupAddress is missing for 'provider' service"",
      ""parameter"": null,
      ""entity"": null,
      ""entityId"": null
    }
  ],
  ""message"": ""Failed to process request""
}
{noformat}

A few issues here:

# *Undocumented 422 Error*: The API spec only lists {{400}}, {{401}}, and {{500}} responses. A {{422}} response is not documented
# *Confusing Validation Message*: The error mentions {{pickupAddress}} as an alternative to {{locationExternalId}}, but {{pickupAddress}} is *not documented* as a valid request field.
# *Contradictory Behavior*: If you attempt to include {{pickupAddress}} in the request body, you receive a {{400 Bad Request}} stating {{""pickupAddress is not allowed""}}.

*Expected Behavior*:

* The API should return a consistent {{400 Bad Request}} when required fields are missing.
* If {{pickupAddress}} is not supported, it should not appear in error messaging.
* API documentation should be updated to reflect correct required fields and all possible response codes, including {{422}} if it is intentionally used.
!2025-07-17_14-37-22.PNG|width=576,height=717,alt=""2025-07-17_14-37-22.PNG""!
!2025-07-17_14-32-43.PNG|width=1132,height=671,alt=""2025-07-17_14-32-43.PNG""!"
ClientId being mapped incorrectly when creating an app in LU,"*Environment*: Lynkup Prod
*Business*: Implementation Team Testing

Details from [~accountid:6355a870b7b39379d71f015e] post.

I'm running into an odd issue trying to test APIs - it almost seems like the credentials are pointing to a different business than the Application is created on. This is happening on 2 different businesses with 2 unique email addresses 
Business: Implementation Team Testing
User: Nick Davies ([nickdaviesfc@gmail.com|mailto:nickdaviesfc@gmail.com])
Applications: Nick Implementation Team & NickImplementation2Examples of issue:

* I make a List Locations call, which provides a 200 response, but the response is blank
* Get Location call for a specific location (Brawndo002) says the Location ID is not found even though it's on the account
* Create Location call fails because it says Brand ID (Brawndo) does not exist even though it's on the account
* There are other examples as well but they all fall along these lines

I can use the Client ID and Secret from Charles or Michael's applications on the same account and they work just fineThis issue is also happening on Nick Demo Account, which has a different user (Nick Developer) and different email address ([nick_davies@outlook.com|mailto:nick_davies@outlook.com])I've worked with [@Charles Does|https://delivery-solutions.slack.com/team/U04L1ANCLJX] and [@Michael Elliott|https://delivery-solutions.slack.com/team/U03PWAQ76Q4] and they are seeing the same issue as me when using the credentials from my application. 

+*Mohamed Fahad*+ looked at this and understands the mapping issue.

Slack Chat:
[https://delivery-solutions.slack.com/archives/C07GUMC9A02/p1752688736321779|https://delivery-solutions.slack.com/archives/C07GUMC9A02/p1752688736321779|smart-link] 

Cc: [~accountid:632d5c92b2e3c5ad0fa30eb8] [~accountid:6355a870b7b39379d71f015e] "
"Rate API request fails due to deliveryAddress.street1 marked as required, but documentation only requires postalCode.","While testing the *Rate API*, a validation error is returned stating:

{noformat}{
  ""type"": ""INVALID_DATA"",
  ""message"": ""deliveryAddress.street1 is a required field. The field is missing."",
  ""parameter"": ""deliveryAddress.street1""
}
{noformat}

However, according to the documentation, the *only required field* within {{deliveryAddress}} is {{postalCode}}, and there is no mention of {{street1}} being mandatory for rate lookup.

*Relevant section from documentation:*

{quote}""The minimum required parameters for the Rate API are {{postalCode}} in the {{deliveryAddress}} and the {{locationExternalIds}}.""{quote}

This discrepancy suggests the backend schema or validator may be overly strict or misaligned with the documented requirements. 



This call does work when including a full address as mentioned, but not with min requirements"
orderStatus.updatedAt in Get Delivery Status rs not in ISO 8601 format,"The {{orderStatus}} object within Get Delivery Status RS is {{a}}a human-readable string (""July 11th 2025, 12:12:07 pm CDT"")

This is *not compliant* with the documented schema, which advised a standard ISO 8601 datetime string (e.g., {{""2025-07-11T12:12:07-05:00""}}).

This inconsistency could cause schema validation failures or parsing issues for consumers expecting machine-readable timestamps.

*Impacted field:*

* {{orderStatus[].updatedAt}}

*Expected format (per schema):*

* ISO 8601: {{YYYY-MM-DDTHH:MM:SSZ}} or with offset"
Edit Location response missing id and createdAt fields,"Per the Edit Location Response schema documented on [developer.lynkup.com|https://developer.lynkup.com], a successful Edit Location response should include both {{id}} (string, ≤100 characters) and {{createdAt}} (string). However, when editing location {{152946}} under ""Implementation Team Testing,"" the successful  response did not contain either of these fields.

!2025-07-07_11-36-29.PNG|width=688,height=522,alt=""2025-07-07_11-36-29.PNG""!

Request and response example attached for reference."
"Delivery response is missing required timestamp fields (createdAt, lastUpdatedAt)","This is occurring on the RSs for Create Delivery, List Deliveries, Get Delivery, Cancel Delivery, Edit Delivery. 

When performing API testing on the delivery endpoint, the response payload includes {{createdDate}} but sets its value to {{null}}. Additionally, both {{createdAt}} and {{lastUpdatedAt}} are completely missing from the response.

According to the API documentation:

* {{createdAt}} and {{lastUpdatedAt}} are *required fields* and should be returned in ISO 8601 format.
* {{createdDate}} is optional but usually contains a Unix timestamp.

This discrepancy could affect consumers relying on delivery record creation times for tracking, auditing, or downstream workflows. It also represents a schema validation failure against the published docs. Screenshot and full rs attached from test order 77055 under implementation_team_testing. "
Lynkup no longer supports the Delete Multiple Boundaries API — only single-boundary deletion remains available.,"*The Delete Multiple Boundaries API is no longer available in LynkUp — only the single Delete Boundary endpoint remains.*

Previously, the DS APIs supported both single and bulk boundary deletions—allowing you to delete a specific boundary using the {{Delete Boundary}} API or remove multiple boundaries tied to a pickup location using the {{Delete Boundaries}} API.  [Delete Boundaries|https://docs.deliverysolutions.co/reference/delete-boundaries] 

In the new LynkUp API documentation, only the single {{Delete Boundary}} API is referenced. This version requires a boundary ID passed as a path parameter, meaning customers must delete boundaries one at a time rather than in bulk.

It’s unclear how widely the bulk deletion option is currently used, but if the intention is to deprecate support for removing multiple boundaries via API, I’ll need to confirm that to provide accurate guidance."
notifySms and notifyEmail removed from DeliveryContact object in LU,"Per our [Lynkup API Change Log|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1138884670/Change+Log], notifySms and notifyEmail have been removed from DeliveryContact object in LU delivery payload.

These objects are important for customer opt in/opt out requirements. 

They need to be passed _per order_, especially the notifySms flag as: 

* Our clients can get into trouble for texting customers that have not _explicitly_ opted in and lose the ability to send SMS messages through Twilio (our SMS partner service).
* This flag prevents us from sending a text message to customers if it is set to false, even if that order falls in a flow that would get a text message (“Your order is out for delivery” etc)





These should be added back in, and testing should confirm that if notifySms is set to False that NO SMS messages are sent in regards to that order."
