Summary,Description
Handle Cron event status race condition more gracefully,"In case where the status of an *in-progress* cron event is manually updated to *""cancelled""* in the database (through external factors), the ongoing execution of that event is not actually stopped. If the in-progress event is responsible for scheduling new events, those will continue to be created and executed in the future as well.

To handle this case for now, we are introducing a check to validate the *latest status* of the current cron event before scheduling any new ones.

In parallel, we should work on identifying a more robust and graceful solution, keeping the following considerations in mind:

* *Cron event* *data* should not be fetched.
* *Cron events should not be modified externally* — all updates should go through the cron service itself.
* The *executor* should be responsible for handling cancellation scenarios appropriately."
Handle Cron event status race condition more gracefully,"In case where the status of an *in-progress* cron event is manually updated to *""cancelled""* in the database (through external factors), the ongoing execution of that event is not actually stopped. If the in-progress event is responsible for scheduling new events, those will continue to be created and executed in the future as well.

To handle this case for now, we are introducing a check to validate the *latest status* of the current cron event before scheduling any new ones.

In parallel, we should work on identifying a more robust and graceful solution, keeping the following considerations in mind:

* *Cron event* *data* should not be fetched.
* *Cron events should not be modified externally* — all updates should go through the cron service itself.
* The *executor* should be responsible for handling cancellation scenarios appropriately."
Lynks | Updating existing Lynks schema,"As per support given to display Lynks schema in node-red canvas (DL-60070)

Need to update all existing data for the same.

Refer Card solution for detail or reach out to [~accountid:5f589d0840e048006e0cc94a]/[~accountid:5f4ddee0333edb00432ffff9]"
JWT TOKEN | Handling prod JWT Token,
Clean card for DL-58474,"* Cleanup triggerMapping for Shopify, UPS & WooCommerce"
masterConfig to be available in payload of enable/disable Hook,
A write-up for workflow migration process,"Will need a write-up where any resource can refer to for Workflow migration standards and best practices.

We already have a document for best practice, add a new section inside it - [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1415118991/Workflow+Creation+Best+Practices+Documentation|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/1415118991/Workflow+Creation+Best+Practices+Documentation|smart-link] "
Lynks | Migration Simplification,
Lynks | Facilitate Type Validation framework in workflows,
Discovery | Happy Returns Implementation,
Assess & Create List of Integrated Lynks that can Support On-Demand Sync,"we need an assessment of, among all the Lynks that have been integrated so far on Lynkup, which all Lynks can on-demand sync work? This card will be prioritised accordingly if there are many Lynks that can support. "
Review and Clean up the Cards,"All the cards should be reviewed and all the necessary information should be updated. example Requirement description, Feature/acceptance criteria etc. "
Add the error in the callback URL being called for O-Auth Flow for lynks Framework ,"As per the {{Solution Call}} the error that is created in the {{shopify}} flow on workflow service needs to be propagated back to the framework through the call of the POST in the following 

{noformat}/lynk-oauth-callback{noformat}

the above call is currently already happening this is only for addition of the error so that t he same can be propagated back to the USER/PORTAL

Same format as DS with a extra key connectLynkId

{noformat}{
    connectedLynkId: string;
    type: string;
    message: string;
    errors?: Array<{
      type: string;
      message: string;
    }>;
}{noformat}

{noformat}-----------------------
{
  connectedLynkId: ""dfhsdkjfhdskfj"",
  ""errors"": [
    {
      ""type"": ""INVALID_DATA"",
      ""message"": ""Some issue occured during the execution""
    }
  ],
  ""type"": ""INVALID_DATA"",
  ""message"": ""Check configuration and retry again.""
}
-----------------------
{
  ""connectedLynkId"": ""dfhsdkjfhdskfj"",
  ""errors"": [
    {
      ""type"": ""UNAUTHORIZED"",
      ""message"": ""Issue during the authentication flow while generating the redirection url.""
    }
  ],
  ""type"": ""UNAUTHORIZED"",
  ""message"": ""Contact support if you are not able to install this Lynk""
}
{noformat}"
