Summary,Description
Performance testing for workflow-builder Ms,"As part of Enhancement being done for [https://delivery-solutions.atlassian.net/browse/DL-61799|https://delivery-solutions.atlassian.net/browse/DL-61799|smart-link]  Bug

We have made few changes related to Cache implementation to reduce CPU utilization.



*Objective:* To compare the overall effectiveness of Fix of Workflow-builder. This will help to gauge the new changes.

Dev Url - [https://dev.workflows-builder.lynkup.com/|https://dev.workflows-builder.lynkup.com/] 

Will need Perf sign-off for those new changes.



Note: workflow-builder is already made to Prod as this was internal application and not public facing.

Reach out to [~accountid:5f4ddee0333edb00432ffff9] [~accountid:712020:a6a4bceb-f4b4-4b10-8df8-8be6179baa1e]  [~accountid:712020:b01040ae-15ec-4a86-adab-f392074fbc58] for any query."
Check Performance for Label V2,"we have used the Parameter store for using environment variables, so the sensitive information is not exposed, please check that it doesn't have impact on the latency of label V2"
Performance Test of Provider Webhooks with DR Region,Performance Test of Provider Webhooks with DR Region
Performance Testing for Event Entity Framework,"Performance Testing for Event Entity Framework

The event processor service is a new service hence we need to provide the CPU and Memory Requirements, Task Placements Strategy and Auto Scaling Policies."
Simulation cluster Performance Testing Required: Rate API in new Infra With Provider Service and min 1 instance of each API to reduce the cost,
Performance Test to evaluate plancache in MongoDB,
Performance recommendation for implementing the managed draining in capacity provider,"Currently, our older services do *not* have managed draining enabled in the capacity provider. This has led to EC2 instances being terminated immediately after tasks are stopped, sometimes while they're still carrying active tasks.

During the Ware2Go testing, we enabled *managed draining* and observed that EC2 termination was handled gracefully, in sync with ECS task lifecycle.

Please test this setup in your environment and share your recommendations on adopting managed draining for capacity providers."
Performance recommendation for Task deregistration delays in target groups.,"Currently the Task deregistration delays as 300 seconds in target groups, which is default value.
AWS team has recommended to have Task deregistration delays as 700 seconds in target groups. Please perform the test to check the impact of adding Task deregistration delays in all the ecs service configuration."
Performance recommendation for increased Scale down alarm cooling period ,"Currently the Scale down alarm cooling period  is 60sec 
AWS team has recommended to have Scale down alarm cooling period  is 300sec for smooth scale down . Please perform the test to check the impact of  increased Scale down alarm cooling period  in all the ecs service configuration."
Performance recommendation for Service Healthcheck grace period ,AWS team has recommended to have Service Healthcheck grace period 60 seconds. Please perform the test to check the impact of adding Healthcheck grace period in all the ecs service configuration. 
