summary,description
Simulate Replication lag to analyse the impact during disk downsizing activity,"* *Simulate lag through high write load:*
We’ll intentionally generate a high volume of write traffic to create replication lag.
* *Introduce network latency:*
Secondaries will be migrated to the NV region to induce slower replication due to network latency.
* *Timing coordination:*
High volume writes will begin once the disk downscaling activity is initiated.
* *Verification:*
Verify that no order transitions to the *pending dispatch* state multiple times during the downscale process.


[~accountid:62e7989bec6b328032f0a332] , -we need at least 300GB of data in perf before starting this downscale activity.,- 
We’ll test with a lower tier to induce replication lag.
"
Update Performance Portal,"# Lambda Env Variable (*apiAuthorizerPerformance, api-authorizer-perf*)
# TD comparison on portal with sandbox/qa to perf
# Load Shift View/Edit for performance on Oregon and N.V"
Performance test for custom tier based rates when opting for drivingDistance based rates calculation,
Performance testing for workflow-builder Ms,"As now workflow is being a bit stable, we need to do a Perf testing for workflow-builder.

Dev Url - [https://dev.workflows-builder.lynkup.com/|https://dev.workflows-builder.lynkup.com/] 

Sprint sandbox date is 21st Jul

*Objective:* To achieve and understand performance parameters for workflow-builder.

Note: workflow-builder is already made to Prod as this was internal application and not public facing.



Reach out to [~accountid:5f4ddee0333edb00432ffff9] [~accountid:712020:18d4d68c-62cd-4023-8374-42f9982cbfd4] [~accountid:712020:b01040ae-15ec-4a86-adab-f392074fbc58] for any query."
Add new flavours to generic and endurance test,
Endurance Test - JUNE-25,
Performance test for Shipping fee calculation API,
POC ECS Task Placement Update,"Source: [~accountid:712020:b28dc6ea-8f7b-4903-a072-4ae6e3178197] 

_New AWS Notification – ECS Task Placement Update_
AWS has rolled out a new feature related to ECS task placement. Check out the details below.
Let’s assess if this could be more efficient than our current strategy, especially since it’s managed by AWS without us needing to configure it manually.

{noformat}There is an upcoming change to Amazon Elastic Container Service (ECS) that enhances how ECS services maintain high availability across Availability Zones (AZs).
Effective June 30, 2025, Availability Zone (AZ) rebalancing will be enabled by default for all newly created ECS services that are compatible with the feature.

What is AZ Rebalancing?
AZ rebalancing helps improve application availability by automatically monitoring and distributing ECS tasks evenly across Availability Zones. When ECS detects an imbalanced task distribution across AZs, it will proactively launch tasks in the AZs with the fewest tasks and terminate excess tasks in the AZs with the most tasks.

What is Changing?
Starting June 30, 2025, ECS will default enableAvailabilityZoneRebalancing to true for all new ECS Services that are compatible with the feature.
Existing services (created before June 30, 2025) will not be affected by this change.
Services that are not compatible — such as those using the binpack placement strategy — will default to false to ensure backward compatibility.

Important Considerations:
1. AZ rebalancing may involve stopping and starting tasks as part of the rebalancing process. 
2. If you have workloads that are sensitive to task termination or require strict control over task placement, you may want to opt out by setting enableAvailabilityZoneRebalancing to false when creating new services.
3. To enable AZ rebalancing on existing compatible services, update Service and set enableAvailabilityZoneRebalancing to true.
4. We encourage you to review your ECS service configurations to determine compatibility and decide if any changes are needed for your specific workloads.{noformat}"
Performance test for DL-53137,Performance test for DL-9064 and DL-53137
Evaluate App Stability with Targeted 3000 IOPS Before Disk Downsizing,"*Objective: Scale down deliverysolutions-prod disk size from 3 TB to 500GB*
Max Disk IOPS captures short bursts (e.g., up to 19,000 write IOPS), while Disk IOPS (average) reflects sustained usage (around 820 write / 250 read IOPS). Since the sustained IOPS are well below the 3000 IOPS baseline available at 500 GB, downsizing disk space should not negatively impact performance.

*Action Item:*
Perform a current prod load matching test of the application with targeted IOPS (3000 baseline) to validate stability and measure impact.



!image-20250702-072605.png|width=1884,height=804,alt=""image-20250702-072605.png""!"
